,AvulsionFracture,ComminutedFracture,FractureDislocation,GreenstickFracture,HairlineFracture,ImpactedFracture,LongitudinalFracture,ObliqueFracture,PathologicalFracture,SpiralFracture
AvulsionFracture,0,5,7,0,0,0,0,1,1,0
ComminutedFracture,0,5,7,0,0,0,0,0,1,1
FractureDislocation,0,3,12,0,0,0,0,1,2,1
GreenstickFracture,0,8,5,1,0,0,0,0,2,0
HairlineFracture,0,1,9,0,0,0,0,0,0,0
ImpactedFracture,0,4,5,0,0,0,0,0,0,0
LongitudinalFracture,0,6,2,0,0,0,0,2,2,0
ObliqueFracture,0,7,7,0,0,0,0,1,1,0
PathologicalFracture,0,4,10,0,0,0,0,0,3,1
SpiralFracture,0,6,2,0,0,0,0,0,3,1
