,precision,recall,f1-score,support
AvulsionFracture,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0
ComminutedFracture,0.14583333333333334,0.5,0.22580645161290322,14.0
FractureDislocation,0.19402985074626866,0.6842105263157895,0.3023255813953488,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.14285714285714285,0.08333333333333333,0.10526315789473684,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.0,0.0,0.0,18.0
SpiralFracture,0.0,0.0,0.0,12.0
accuracy,0.16428571428571428,0.16428571428571428,0.16428571428571428,0.16428571428571428
macro avg,0.07049425491589671,0.14104010025062655,0.08073082343812497,140.0
weighted avg,0.07538307611601855,0.16428571428571428,0.09002440623231978,140.0
